Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio,date,lat,lon,DayNight
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200815\20200815_213815.wav,3/2/23 13:17,HMS,Unknown,8/16/2020 0:23:10.6,8/16/2020 0:23:11.4,NA,NA,NA,NA,NA,NA,No HMS vocalizations 8/15/2020,NA,NA,2020-08-16,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200816\20200816_002331.wav,3/2/23 13:20,Anthro,Airplane,8/16/2020 1:43:44.4,8/16/2020 1:43:52.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-16,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200816\20200816_030942.wav,3/2/23 13:27,HMS,Growl,8/16/2020 4:30:08.6,8/16/2020 4:30:11.9,2,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-16,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200816\20200816_030942.wav,3/2/23 13:27,HMS,Whoop,8/16/2020 4:30:14.2,8/16/2020 4:30:14.4,2,1,NA,NA,NA,NA,NA,NA,NA,2020-08-16,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200816\20200816_030942.wav,3/2/23 13:27,HMS,Croak,8/16/2020 4:30:15.1,8/16/2020 4:30:15.4,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-16,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200816\20200816_030942.wav,3/2/23 13:29,HMS,Growl,8/16/2020 4:33:31.3,8/16/2020 4:33:34.0,3,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-16,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200816\20200816_030942.wav,3/2/23 13:29,HMS,Growl,8/16/2020 4:33:34.9,8/16/2020 4:33:35.3,3,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-16,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200816\20200816_030942.wav,3/2/23 13:29,HMS,Growl,8/16/2020 4:33:37.0,8/16/2020 4:33:41.0,3,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-16,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200816\20200816_030942.wav,3/2/23 13:30,HMS,Whoop,8/16/2020 4:33:42.6,8/16/2020 4:33:43.6,3,3,NA,NA,NA,NA,NA,NA,NA,2020-08-16,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200816\20200816_030942.wav,3/2/23 13:30,HMS,Growl,8/16/2020 4:33:43.8,8/16/2020 4:33:44.5,3,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-16,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200816\20200816_030942.wav,3/2/23 13:30,HMS,Croak,8/16/2020 4:33:44.9,8/16/2020 4:33:45.4,3,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-16,21.32505,-157.6604,Night
